-390, -252, -17148, -7, -70, 20
-442, -277, -17046, -6, -28, 23
-444, -216, -17105, 2, -54, 20
-360, -227, -17067, -3, -73, 21
-489, -293, -17050, -2, -39, 24
-512, -261, -17048, 1, -55, 26
-452, -222, -17051, -3, -70, 26
-413, -226, -17092, -5, -32, 29
-451, -247, -17068, -15, -17, 29
-457, -260, -17049, 5, -87, 13
-409, -240, -17113, 9, -57, 24
-409, -237, -17117, -11, -33, 23
-439, -255, -17103, 4, -72, 16
-444, -278, -17063, 0, -28, 22
-424, -268, -17065, -26, -22, 37
-443, -256, -17099, 3, -78, 18
-475, -285, -17050, 5, -51, 20
-449, -270, -17063, 4, -73, 19
-444, -261, -17066, 8, -84, 17
-462, -223, -17014, -10, -30, 27
-463, -243, -17044, 3, -38, 28
-432, -243, -17092, -1, -73, 28
-456, -262, -17068, -7, -59, 25
-446, -263, -17061, -1, -45, 26
-440, -246, -17097, 0, -58, 26
-450, -243, -17057, 1, -69, 23
-447, -241, -17081, -8, -21, 26
-439, -244, -17068, -4, -71, 28
-430, -256, -17063, -2, -63, 24
-456, -272, -17054, -6, -26, 31
-427, -236, -17092, -9, -44, 32
-422, -233, -17071, 0, -74, 22
-448, -251, -17111, 2, -35, 28
-410, -231, -17094, 1, -79, 14
-440, -256, -17090, 2, -75, 18
-442, -253, -17071, -7, -40, 34
-463, -251, -17053, -2, -47, 28
-450, -246, -17047, -4, -75, 18
-439, -237, -17107, -6, -29, 22
-456, -271, -17027, -11, -40, 33
-458, -252, -17014, 0, -72, 23
-428, -236, -17101, 6, -56, 25
-463, -265, -17052, 7, -59, 20
-478, -262, -17061, -2, -63, 20
-436, -256, -17073, 3, -43, 20
-457, -229, -17059, -13, -26, 32
-448, -263, -17073, 0, -61, 21
-441, -262, -17058, -17, -34, 36
-425, -193, -17058, -7, -48, 26
-463, -218, -17018, -14, -89, 14
-467, -345, -17179, -15, -78, 25
-364, -426, -17306, 23, -23, 28
-434, -210, -17080, 37, -45, 31
-484, -68, -16736, 2, -62, 27
-506, 33, -16936, -77, -39, 33
-421, -646, -17205, -47, -76, 17
-377, -557, -17479, 41, -58, 20
-399, -168, -17140, 62, 0, 37
-518, -4, -16737, 39, -34, 34
-590, 70, -16631, -65, -78, 19
-422, -343, -17008, -98, -76, 29
-393, -562, -17594, -52, -26, 30
